2024-10-29 12:44:54,589 p=1391626 u=lavender n=ansible | PLAY [Total Removal] **********************************************************************************************************************************************************************
2024-10-29 12:44:54,594 p=1391626 u=lavender n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************************************
2024-10-29 12:44:55,577 p=1391626 u=lavender n=ansible | ok: [monitor2]
2024-10-29 12:44:55,597 p=1391626 u=lavender n=ansible | TASK [telegraf : Package install] *********************************************************************************************************************************************************
2024-10-29 12:44:55,612 p=1391626 u=lavender n=ansible | skipping: [monitor2]
2024-10-29 12:44:55,619 p=1391626 u=lavender n=ansible | TASK [telegraf : Configure the plugins] ***************************************************************************************************************************************************
2024-10-29 12:44:55,632 p=1391626 u=lavender n=ansible | skipping: [monitor2]
2024-10-29 12:44:55,640 p=1391626 u=lavender n=ansible | TASK [telegraf : sometimes /etc/telegraf.conf does not get created???] ********************************************************************************************************************
2024-10-29 12:44:55,651 p=1391626 u=lavender n=ansible | skipping: [monitor2]
2024-10-29 12:44:55,660 p=1391626 u=lavender n=ansible | TASK [telegraf : Configure default file] **************************************************************************************************************************************************
2024-10-29 12:44:55,671 p=1391626 u=lavender n=ansible | skipping: [monitor2]
2024-10-29 12:44:55,677 p=1391626 u=lavender n=ansible | TASK [telegraf : Populate service facts] **************************************************************************************************************************************************
2024-10-29 12:44:56,950 p=1391626 u=lavender n=ansible | ok: [monitor2]
2024-10-29 12:44:56,988 p=1391626 u=lavender n=ansible | TASK [telegraf : Package remove] **********************************************************************************************************************************************************
2024-10-29 12:44:57,006 p=1391626 u=lavender n=ansible | included: /home/lavender/sandbox/ansible/LabProvisioning/ProvisionCollection/telegraf/tasks/../../shared/any/tasks/Debian-rm.yml for monitor2
2024-10-29 12:44:57,011 p=1391626 u=lavender n=ansible | TASK [telegraf : Populate service facts] **************************************************************************************************************************************************
2024-10-29 12:44:58,172 p=1391626 u=lavender n=ansible | ok: [monitor2]
2024-10-29 12:44:58,181 p=1391626 u=lavender n=ansible | TASK [telegraf : set_fact] ****************************************************************************************************************************************************************
2024-10-29 12:44:58,202 p=1391626 u=lavender n=ansible | ok: [monitor2]
2024-10-29 12:44:58,215 p=1391626 u=lavender n=ansible | TASK [telegraf : Is the serivce: telegraf running?] ***************************************************************************************************************************************
2024-10-29 12:44:58,231 p=1391626 u=lavender n=ansible | ok: [monitor2] => {
    "service_running": false
}
2024-10-29 12:44:58,243 p=1391626 u=lavender n=ansible | TASK [telegraf : Systemd stop telegraf] ***************************************************************************************************************************************************
2024-10-29 12:44:58,254 p=1391626 u=lavender n=ansible | skipping: [monitor2]
2024-10-29 12:44:58,264 p=1391626 u=lavender n=ansible | TASK [telegraf : Remove telegraf Package] *************************************************************************************************************************************************
2024-10-29 12:45:00,177 p=1391626 u=lavender n=ansible | changed: [monitor2]
